filo 	 phylum
        classe 	 class
        ordem 	 order
        familia 	 family
        subfamilia 	 
        tribo 	 
        genero 	 genus
        epiteto 	 specificEpithet
        numerodecampo 	 fieldNumber
        ambiente 	 
        datadedeterminacao 	 dateIdentified
        entrada 	 
        dataentrada 	 
        tecnicacol 	 samplingProtocol
        tipodecolecao 	 type
        observacaoreg 	 basisOfRecord
        pais 	 country
        estado 	 stateProvince
        municipio 	 municipality
        localidade 	 locality
        numerocoletor 	 
        datacoleta 	 eventDate
        observacaocoleta 	 eventRemarks
        graudelatitude 	 decimalLatitude
        minutodelatitude 	 
        segundodelatitude 	 
        latitudenortesul 	 
        graudelongitude 	 decimalLongitude
        minutodelongitude 	 
        segundodelongitude 	 
        longitudelesteoeste 	 
        profundidade 	 verbatimDepth
        nºindividuos 	 
        determinador 	 identifiedBy
        coletor 	 recordedBy
        projeto 	 
